Exercise Name,Equipment,Mechanics,Force,Main_muscle,Difficulty (1-5)
Neck Flexion,Cable,Isolated,Pull,Neck,2
Neck Flexion,Lever (plate loaded),Isolated,Pull,Neck,2
Lateral Neck Flexion,Lever (plate loaded),Isolated,Pull,Neck,2
Neck Flexion,Lever (selectorized),Isolated,Pull,Neck,2
Lateral Neck Flexion,Lever (selectorized),Isolated,Pull,Neck,2
Neck Flexion,Weighted,Isolated,Pull,Neck,2
Lateral Neck Flexion,Weighted,Isolated,Pull,Neck,2
Wall Front Neck Bridge,Body Weight,Isolated,Push & Pull,Neck,3
Wall Side Neck Bridge,Body Weight,Isolated,Pull,Neck,3
Neck Flexion,Suspended,Isolated,Pull,Neck,2
Lateral Neck Flexion,Suspended,Isolated,Pull,Neck,2
Neck Extension,Cable,Isolated,Pull,Neck,2
Neck Extension,Lever (plate loaded),Isolated,Pull,Neck,2
Neck Extension,Lever (selectorized),Isolated,Pull,Neck,2
Seated Neck Extension,Weighted,Isolated,Pull,Neck,2
Seated Neck Extension:  Harness,Weighted,Isolated,Pull,Neck,3
Neck Retraction,Band Resistive,Isolated,Pull,Neck,1
Wall Rear Neck Bridge,Body Weight,Isolated,Pull,Neck,3
Lying Neck Retraction,Isometric,Isolated,Pull,Neck,1
Neck Extension,Suspended,Isolated,Pull,Neck,2
Front Raise,Barbell,Isolated,Push,Shoulder,2
Military Press,Barbell,Compound,Push,Shoulder,4
Military Press:  Seated,Barbell,Compound,Push,Shoulder,3
Front Raise,Cable,Isolated,Push,Shoulder,2
Front Raise:  Alternating,Cable,Isolated,Push,Shoulder,2
Front Raise:  One Arm,Cable,Isolated,Push,Shoulder,2
Shoulder Press,Cable,Compound,Push,Shoulder,3
Shoulder Press:  Seated,Cable,Compound,Push,Shoulder,3
Arnold Press,Dumbbell,Compound,Push,Shoulder,4
Front Raise,Dumbbell,Isolated,Push,Shoulder,2
Front Raise:  Alternating,Dumbbell,Isolated,Push,Shoulder,2
Shoulder Press,Dumbbell,Compound,Push,Shoulder,3
Shoulder Press:  One Arm,Dumbbell,Compound,Push,Shoulder,3
Military Press,Lever (plate loaded),Compound,Push,Shoulder,4
Reclined Shoulder Press,Lever (plate loaded),Compound,Push,Shoulder,3
Shoulder Press,Lever (plate loaded),Compound,Push,Shoulder,3
Reclined Shoulder Press,Lever (selectorized),Compound,Push,Shoulder,3
Shoulder Press,Lever (selectorized),Compound,Push,Shoulder,3
Shoulder Press:  Parallel Grip,Lever (selectorized),Compound,Push,Shoulder,3
Shoulder Press,Sled,Compound,Push,Shoulder,3
Shoulder Press,Smith,Compound,Push,Shoulder,3
Pike Press (between benches),Body Weight,Compound,Push,Shoulder,4
Pike Press (between benches):  Elevated,Body Weight,Compound,Push,Shoulder,5
Front Raise,Suspended,Isolated,Push,Shoulder,2
Upright Row,Barbell,Compound,Pull,Shoulder,3
Lateral Raise,Cable,Isolated,Pull,Shoulder,2
Lateral Raise:  One Arm,Cable,Isolated,Pull,Shoulder,2
Upright Row,Cable,Compound,Pull,Shoulder,3
Upright Row:  One Arm,Cable,Compound,Pull,Shoulder,3
Upright Row:  with rope,Cable,Compound,Pull,Shoulder,3
Y Raise,Cable,Isolated,Pull,Shoulder,3
Incline Lateral Raise,Dumbbell,Isolated,Pull,Shoulder,3
Lateral Raise,Dumbbell,Isolated,Pull,Shoulder,2
Upright Row,Dumbbell,Compound,Pull,Shoulder,3
Upright Row:  One Arm,Dumbbell,Compound,Pull,Shoulder,3
Lateral Raise,Lever (plate loaded),Isolated,Pull,Shoulder,2
Lateral Raise,Lever (selectorized),Isolated,Pull,Shoulder,2
Lateral Raise:  other machine,Lever (selectorized),Isolated,Pull,Shoulder,2
Upright Row,Smith,Compound,Pull,Shoulder,3
Y Raise,Suspended,Isolated,Pull,Shoulder,3
Rear Delt Row,Barbell,Compound,Pull,Shoulder,3
Reverse Fly,Cable,Isolated,Pull,Shoulder,2
Rear Delt Row,Cable,Compound,Pull,Shoulder,3
Rear Delt Row:  Standing Rear Delt Row (stirrups),Cable,Compound,Pull,Shoulder,3
Rear Lateral Raise,Cable,Isolated,Pull,Shoulder,2
Rear Lateral Raise,Dumbbell,Isolated,Pull,Shoulder,2
Rear Delt Row,Dumbbell,Compound,Pull,Shoulder,3
Seated Rear Lateral Raise,Dumbbell,Isolated,Pull,Shoulder,2
Lying Rear Lateral Raise,Lever (plate loaded),Isolated,Pull,Shoulder,2
Seated Rear Delt Row,Lever (plate loaded),Compound,Pull,Shoulder,3
Seated Rear Delt Row:  alternative machine,Lever (plate loaded),Compound,Pull,Shoulder,3
Lying Rear Lateral Raise,Lever (selectorized),Isolated,Pull,Shoulder,2
Seated Rear Delt Row,Lever (selectorized),Compound,Pull,Shoulder,3
Seated Reverse Fly,Lever (selectorized),Isolated,Pull,Shoulder,2
Seated Reverse Fly:  pronated grip,Lever (selectorized),Isolated,Pull,Shoulder,2
Rear Delt Row,Smith,Compound,Pull,Shoulder,3
Rear Delt Inverted Row (high bar),Body Weight,Compound,Pull,Shoulder,4
Rear Delt Inverted Row (on hips),Body Weight,Compound,Pull,Shoulder,4
Rear Delt Row,Suspended,Compound,Pull,Shoulder,3
Reverse Fly,Suspended,Compound,Pull,Shoulder,2
Front Lateral Raise,Cable,Isolated,Pull,Shoulder,2
Front Lateral Raise,Dumbbell,Isolated,Pull,Shoulder,2
Full Can Lateral Raise,Dumbbell,Isolated,Pull,Shoulder,2
Lying Lateral Raise,Dumbbell,Isolated,Pull,Shoulder,2
Triceps Dip,Assisted,Compound,Push,Upper Arms,4
Triceps Dip:  kneeling,Assisted,Compound,Push,Upper Arms,3
Close Grip Bench Press,Barbell,Compound,Push,Upper Arms,3
Lying Triceps Extension,Barbell,Isolated,Push,Upper Arms,3
Lying Triceps Extension:  Skull Crusher,Barbell,Isolated,Push,Upper Arms,3
Triceps Extension,Barbell,Isolated,Push,Upper Arms,2
Bent-over Triceps Extension,Cable,Isolated,Push,Upper Arms,2
Pushdown,Cable,Isolated,Push,Upper Arms,2
Pushdown:  One Arm,Cable,Isolated,Push,Upper Arms,2
